# Truth table
# Exported on Fri Jun 23 19:26:15 PDT 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

opcode[7..0] | NOP ADD SUB MUL DIV MODx NOTx ANDx ORx XORx EQ NEQ GTE LTE GT LT JMP JMPi JMPT JMPTi SET COPY LOAD LOADi STR STRi PUSH POP
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  00000000   |  1   0   0   0   0   0    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00000001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00000111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00001111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00010000   |  0   1   0   0   0   0    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00010001   |  0   0   1   0   0   0    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00010010   |  0   0   0   1   0   0    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00010011   |  0   0   0   0   1   0    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00010100   |  0   0   0   0   0   1    0    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00010101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00010110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00010111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00011111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00100000   |  0   0   0   0   0   0    1    0    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100001   |  0   0   0   0   0   0    0    1    0   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100010   |  0   0   0   0   0   0    0    0    1   0   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100011   |  0   0   0   0   0   0    0    0    0   1   0   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100100   |  0   0   0   0   0   0    0    0    0   0   1   0   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100101   |  0   0   0   0   0   0    0    0    0   0   0   1   0   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100110   |  0   0   0   0   0   0    0    0    0   0   0   0   1   0  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00100111   |  0   0   0   0   0   0    0    0    0   0   0   0   0   1  0  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00101000   |  0   0   0   0   0   0    0    0    0   0   0   0   0   0  1  0   0   0    0     0    0   0    0     0    0   0    0    0 
  00101001   |  0   0   0   0   0   0    0    0    0   0   0   0   0   0  0  1   0   0    0     0    0   0    0     0    0   0    0    0 
  00101010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00101011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00101100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00101101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00101110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00101111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  00110000   |  0   0   0   0   0   0    0    0    0   0   0   0   0   0  0  0   1   0    0     0    0   0    0     0    0   0    0    0 
